面积,价格,格局,楼层,朝向,装修,年建,板楼塔楼,所在区域,电梯有无,房屋年限,交易权限,房型
65.9平米,367万,1室1厅,中楼层/共11层,东,平层/精装,2002年建,板楼,朝阳  常营 五至六环 近6号线黄渠站,有,满五年,商品房,1室1厅1厨1卫
79.38平米,378万,2室1厅,高楼层/共15层,南 北,平层/精装,2010年建,板塔结合,昌平  立水桥 五至六环,有,满五年,限价商品房,2室1厅1厨1卫
81.2平米,298万,2室1厅,低楼层/共6层,南 北,平层/精装,2014年建,板楼,房山  长阳 五至六环 近房山线广阳城站,有,满两年,商品房,2室1厅1厨1卫
67.26平米,509万,1室1厅,低楼层/共15层,南,平层/精装,2008年建,板塔结合,朝阳  朝青 四至五环 近6号线青年路站,有,满五年,商品房,1室1厅1厨1卫
55.03平米,229万,2室1厅,低楼层/共6层,南 北,平层/简装,1984年建,板楼,大兴  黄村中 五至六环 近4号线大兴线黄村西大街站,无,满五年,商品房,2室1厅1厨1卫
58.79平米,195万,2室1厅,顶层/共5层,南 北,平层/简装,1980年建,板楼,朝阳  首都机场 五至六环,无,满两年,商品房,2室1厅1厨1卫
95.68平米,708万,2室1厅,低楼层/共27层,东南,平层/精装,2012年建,板楼,朝阳  北苑 五至六环 近13号线北苑站,有,满五年,商品房,2室1厅1厨1卫
55.59平米,250万,2室1厅,中楼层/共6层,南 北 东,平层/简装,1990年建,板楼,通州  通州北苑 五至六环 近八通线通州北苑站,有,满两年,已购公房,2室1厅1厨1卫
88.43平米,195万,2室1厅,底层/共15层,南 北,平层/精装,2011年建,板塔结合,房山  窦店 六环外,有,满五年,商品房,2室1厅1厨1卫
63.52平米,398万,2室1厅,中楼层/共6层,东 西,平层/简装,1992年建,板楼,朝阳  健翔桥 三至四环 近10号线健德门站,无,满五年,已购公房,2室1厅1厨1卫
63.96平米,522万,2室1厅,中楼层/共6层,北 南,平层/精装,1987年建,板楼,朝阳  惠新西街 三至四环 近5号线惠新西街北口站,无,满两年,商品房,2室1厅1厨1卫
57.05平米,325万,2室1厅,低楼层/共6层,南 北,平层/简装,1988年建,板楼,石景山  鲁谷 四至五环,无,满五年,已购公房,2室1厅1厨1卫
71.17平米,266万,1室1厅,中楼层/共6层,南 北,平层/简装,2010年建,板楼,顺义  顺义城 六环外,无,满两年,商品房,1室1厅1厨1卫
57.93平米,230万,1室1厅,高楼层/共6层,南 北,平层/简装,1997年建,板楼,丰台  卢沟桥 四至五环,无,满五年,商品房,1室1厅1厨1卫
57.89平米,348万,2室1厅,中楼层/共12层,东南,平层/简装,1983年建,板塔结合,朝阳  潘家园 二至三环,有,满五年,商品房,2室1厅1厨1卫
47.24平米,235万,1室1厅,低楼层/共6层,南,平层/简装,1989年建,板楼,石景山  鲁谷 四至五环,无,满两年,商品房,1室1厅1厨1卫
47.7平米,226万,1室0厅,高楼层/共20层,南,平层/简装,2007年建,塔楼,丰台  花乡 四至五环,有,满五年,商品房,1室0厅1厨1卫
55.48平米,318万,2室1厅,底层/共6层,南 北,平层/精装,1995年建,板楼,丰台  角门 三至四环 近10号线角门东站,无,满五年,商品房,2室1厅1厨1卫
85.23平米,309万,2室1厅,中楼层/共18层,南 北,平层/精装,2014年建,板塔结合,房山  长阳 五至六环 近房山线稻田站,有,满五年,限价商品房,2室1厅1厨1卫
53.4平米,760万,1室1厅,中楼层/共5层,南 北,平层/精装,1996年建,板楼,西城  官园 二环内 近4号线大兴线平安里站,无,满五年,已购公房,1室1厅1厨1卫
66.05平米,245万,2室1厅,低楼层/共6层,南 北,平层/精装,1997年建,板楼,大兴  大兴其它 五至六环,无,满五年,商品房,2室1厅1厨1卫
90.08平米,479万,2室1厅,高楼层/共12层,南 北,平层/简装,2005年建,板塔结合,昌平  回龙观 五至六环 近8号线回龙观东大街站,有,满五年,商品房,2室1厅1厨1卫
61.37平米,277万,1室1厅,顶层/共15层,南,平层/精装,2013年建,板楼,海淀  海淀北部新区 五至六环,暂无数据,满五年,限价商品房,1室1厅1厨1卫
62.26平米,218万,1室1厅,中楼层/共18层,南,平层/简装,2005年建,板楼,大兴  枣园 五至六环,有,满五年,限价商品房,1室1厅1厨1卫
58.24平米,545万,2室1厅,低楼层/共6层,东南,平层/精装,1993年建,板楼,东城  崇文门 二环内 近5号线天坛东门站,无,满五年,商品房,2室1厅1厨1卫
82.51平米,460万,2室1厅,中楼层/共14层,南 北,平层/精装,2015年建,板楼,大兴  大兴其它 五至六环,有,满两年,商品房,2室1厅1厨1卫
81.34平米,460万,2室1厅,中楼层/共22层,南,平层/精装,2015年建,板塔结合,昌平  回龙观 五至六环,有,满两年,商品房,2室1厅1厨1卫
54.93平米,220万,2室1厅,中楼层/共6层,东 南,平层/精装,1986年建,板楼,大兴  黄村火车站 五至六环 近4号线大兴线黄村火车站站,无,满五年,已购公房,2室1厅1厨1卫
57.7平米,499万,2室1厅,高楼层/共14层,西南,平层/精装,1989年建,塔楼,海淀  小西天 二至三环,有,满五年,商品房,2室1厅1厨1卫
42.4平米,260万,1室1厅,中楼层/共6层,南,平层/简装,1994年建,板楼,朝阳  中央别墅区 五至六环,无,满五年,商品房,1室1厅1厨1卫
89.03平米,509万,2室1厅,中楼层/共5层,南 北,平层/精装,1996年建,板楼,石景山  鲁谷 四至五环 近1号线八宝山站,无,满五年,已购公房,2室1厅1厨1卫
58.96平米,388万,1室1厅,低楼层/共18层,南,平层/精装,未知年建,板楼,丰台  科技园区 四至五环 近房山线郭公庄站,有,满五年,限价商品房,1室1厅1厨1卫
59.95平米,349万,2室1厅,底层/共6层,南 北,平层/精装,1992年建,板楼,朝阳  劲松 三至四环,无,满五年,已购公房,2室1厅1厨1卫
58.57平米,305万,1室1厅,顶层/共6层,南 北,平层/精装,1994年建,板楼,昌平  回龙观 五至六环,无,满两年,商品房,1室1厅1厨1卫
70.37平米,309万,2室1厅,中楼层/共27层,西南,平层/精装,2014年建,板塔结合,大兴  天宫院 六环外,有,满两年,商品房,2室1厅1厨1卫
75.86平米,308万,2室1厅,低楼层/共6层,南 北,平层/精装,1997年建,板楼,大兴  旧宫 四至五环 近亦庄线旧宫站,无,满五年,商品房,2室1厅1厨1卫
50.57平米,333万,2室1厅,底层/共6层,南 北,平层/精装,1990年建,板楼,朝阳  朝阳公园 四至五环,无,满两年,商品房,2室1厅1厨1卫
75.82平米,280万,2室1厅,低楼层/共6层,东南,平层/精装,1997年建,板楼,昌平  鼓楼大街 六环外 近昌平线昌平站,无,满五年,已购公房,2室1厅1厨1卫
50.1平米,312万,2室1厅,高楼层/共6层,南 北,平层/精装,1985年建,板楼,丰台  北大地 三至四环 近9号线丰台东大街站,无,满五年,商品房,2室1厅1厨1卫
70.29平米,309万,1室1厅,低楼层/共17层,东 北,平层/精装,2008年建,板塔结合,大兴  枣园 五至六环 近4号线大兴线枣园站,有,满五年,商品房,1室1厅1厨1卫
74.13平米,758万,2室1厅,中楼层/共22层,西南,平层/精装,2003年建,塔楼,海淀  军博 二至三环 近9号线北京西站站,有,满两年,商品房,2室1厅1厨1卫
68.89平米,243万,2室1厅,高楼层/共6层,南 北,平层/简装,1999年建,板楼,昌平  北七家 五至六环,无,满五年,商品房,2室1厅1厨1卫
50.14平米,290万,1室1厅,低楼层/共6层,南 北,平层/精装,1994年建,板楼,朝阳  华威桥 三至四环 近14号线东段北工大西门站,无,满五年,已购公房,1室1厅1厨1卫
65.11平米,259万,2室1厅,底层/共6层,南 北,平层/简装,1996年建,板楼,顺义  顺义城 六环外 近15号线顺义站,无,满两年,已购公房,2室1厅1厨1卫
96.85平米,520万,2室1厅,中楼层/共16层,南 北,平层/简装,2006年建,板塔结合,丰台  六里桥 三至四环 近9号线六里桥站,有,满五年,二类经济适用房,2室1厅1厨1卫
56.5平米,361万,2室1厅,顶层/共6层,南 北,平层/简装,1989年建,板楼,朝阳  健翔桥 四至五环,无,满五年,已购公房,2室1厅1厨1卫
80平米,589万,2室1厅,高楼层/共17层,西南,平层/简装,1997年建,塔楼,朝阳  惠新西街 三至四环 近5号线惠新西街南口站,有,满五年,央产房,2室1厅1厨1卫
69.48平米,560万,2室1厅,中楼层/共17层,东南,平层/精装,1987年建,塔楼,朝阳  安贞 三至四环 近10号线安贞门站,有,满五年,已购公房,2室1厅1厨1卫
87.03平米,357万,2室1厅,低楼层/共23层,南,平层/精装,2012年建,板楼,门头沟  冯村 六环外,有,满两年,商品房,2室1厅1厨1卫
87.85平米,1189万,2室1厅,高楼层/共27层,东南 北,平层/精装,2011年建,板楼,朝阳  太阳宫 三至四环 近13号线芍药居站,有,满五年,商品房,2室1厅1厨1卫
50.2平米,470万,2室0厅,高楼层/共6层,南 西,平层/精装,1989年建,板楼,海淀  厂洼 三至四环,无,满两年,商品房,2室0厅1厨1卫
50.31平米,530万,1室1厅,高楼层/共16层,西,平层/简装,2004年建,板塔结合,西城  右安门内 二环内,有,满五年,二类经济适用房,1室1厅1厨1卫
84.44平米,265万,2室2厅,顶层/共6层,南 北,平层/简装,2014年建,板楼,大兴  大兴其它 六环外,有,满两年,商品房,2室2厅1厨1卫
78.15平米,505万,1室1厅,中楼层/共9层,南,平层/精装,2008年建,板楼,朝阳  四惠 四至五环,有,满两年,商品房,1室1厅1厨1卫
57.36平米,282万,1室1厅,高楼层/共7层,东 西,平层/精装,2001年建,板楼,朝阳  高碑店 四至五环,无,满五年,商品房,1室1厅1厨1卫
74.16平米,480万,2室1厅,中楼层/共15层,南 北,平层/精装,2003年建,板楼,丰台  草桥 三至四环 近10号线草桥站,有,满两年,商品房,2室1厅1厨1卫
61.64平米,320万,1室1厅,低楼层/共21层,南,平层/精装,2011年建,板塔结合,朝阳  东坝 五至六环,有,满五年,限价商品房,1室1厅1厨1卫
89.1平米,235万,2室1厅,顶层/共14层,南 北,平层/精装,未知年建,暂无数据,怀柔  怀柔 六环外,暂无数据,满两年,商品房,2室1厅1厨1卫
60.18平米,380万,1室1厅,高楼层/共20层,东南,平层/精装,2000年建,塔楼,朝阳  望京 四至五环 近15号线望京站,有,满五年,商品房,1室1厅1厨1卫
83.65平米,629万,2室1厅,顶层/共20层,东南,平层/精装,2007年建,板楼,朝阳  四惠 四至五环,有,满五年,商品房,2室1厅1厨1卫
62.53平米,288万,1室1厅,中楼层/共24层,北,平层/精装,2004年建,塔楼,朝阳  管庄 五至六环,有,满两年,商品房,1室1厅1厨1卫
40.6平米,620万,1室1厅,高楼层/共6层,南,平层/精装,1989年建,板楼,西城  金融街 二环内 近4号线大兴线西四站,无,满两年,商品房,1室1厅1厨1卫
59.98平米,375万,1室1厅,中楼层/共24层,西南,平层/精装,2004年建,塔楼,朝阳  石佛营 四至五环 近6号线十里堡站,有,满五年,商品房,1室1厅1厨1卫
54.76平米,229万,2室1厅,中楼层/共6层,南 北,平层/简装,1994年建,板楼,大兴  瀛海 五至六环,无,满五年,已购公房,2室1厅1厨1卫
58.83平米,366万,1室1厅,高楼层/共20层,东,平层/简装,2010年建,塔楼,丰台  成寿寺 三至四环 近10号线成寿寺站,有,满五年,商品房,1室1厅1厨1卫
81.38平米,350万,2室1厅,高楼层/共6层,南 北,平层/精装,1997年建,板楼,通州  万达 五至六环,无,满五年,私产,2室1厅1厨1卫
57.37平米,532万,2室1厅,低楼层/共6层,南 北,平层/简装,1986年建,板楼,西城  广安门 二至三环 近7号线达官营站,无,满五年,已购公房,2室1厅1厨1卫
74.2平米,750万,2室1厅,中楼层/共6层,南 北,平层/精装,1987年建,板楼,海淀  厂洼 三至四环,无,满五年,已购公房,2室1厅1厨1卫
88.2平米,225万,2室1厅,中楼层/共6层,南 北,平层/简装,2010年建,板楼,大兴  天宫院南 六环外,有,满五年,商品房,2室1厅1厨1卫
72.49平米,305万,2室1厅,低楼层/共17层,南,平层/精装,2012年建,板楼,昌平  沙河 五至六环,有,满两年,商品房,2室1厅1厨1卫
52.8平米,317万,2室1厅,底层/共6层,南 北,平层/简装,1990年建,板楼,丰台  洋桥 二至三环 近4号线大兴线北京南站站,无,满两年,已购公房,2室1厅1厨1卫
82.66平米,315万,2室1厅,高楼层/共24层,东南,平层/简装,2005年建,板塔结合,通州  果园 五至六环 近八通线果园站,有,满五年,商品房,2室1厅1厨1卫
86.21平米,296万,2室1厅,中楼层/共18层,南 北,平层/精装,2012年建,板楼,大兴  枣园 五至六环,有,满五年,限价商品房,2室1厅1厨1卫
61.28平米,325万,1室1厅,低楼层/共24层,东,平层/精装,2006年建,塔楼,丰台  木樨园 三至四环 近5号线刘家窑站,有,满两年,商品房,1室1厅1厨1卫
78.32平米,310万,2室1厅,中楼层/共7层,南 北,平层/简装,2000年建,板楼,大兴  高米店南 五至六环 近4号线大兴线高米店南站,无,满五年,已购公房,2室1厅1厨1卫
58.01平米,265万,2室1厅,高楼层/共27层,南,平层/精装,2012年建,板塔结合,通州  临河里 ,有,满五年,限价商品房,2室1厅1厨1卫
58.03平米,410万,2室1厅,高楼层/共16层,南,平层/简装,1985年建,板楼,朝阳  红庙 三至四环 近6号线金台路站,有,满五年,已购公房,2室1厅1厨1卫
72.9平米,318万,2室1厅,高楼层/共16层,东,平层/简装,1997年建,塔楼,石景山  古城 五至六环 近1号线古城站,有,满五年,已购公房,2室1厅1厨1卫
65.33平米,570万,1室1厅,低楼层/共18层,东,平层/精装,2008年建,板楼,朝阳  双井 二至三环 近7号线双井站,有,满五年,商品房,1室1厅1厨1卫
70.46平米,730万,2室1厅,高楼层/共16层,南 北,平层/精装,2003年建,板塔结合,西城  陶然亭 二环内 近7号线虎坊桥站,有,满五年,二类经济适用房,2室1厅1厨1卫
75.47平米,270万,2室1厅,中楼层/共11层,南 北,平层/精装,2009年建,塔楼,顺义  马坡 六环外,有,满两年,商品房,2室1厅1厨1卫
56.57平米,259万,2室1厅,顶层/共5层,南 北,平层/精装,1981年建,板楼,朝阳  垡头 四至五环 近7号线垡头站,无,满五年,已购公房,2室1厅1厨1卫
72.17平米,450万,2室1厅,中楼层/共10层,东 西,平层/精装,1998年建,板楼,海淀  清河 五至六环,无,满五年,已购公房,2室1厅1厨1卫
53.9平米,478万,2室1厅,高楼层/共6层,南 北,平层/精装,1985年建,板楼,海淀  牡丹园 三至四环 近10号线牡丹园站,无,满五年,商品房,2室1厅1厨1卫
68.64平米,330万,1室1厅,高楼层/共14层,西,平层/简装,2007年建,板楼,朝阳  垡头  近7号线垡头站,有,满五年,商品房,1室1厅1厨1卫
58.4平米,373万,1室0厅,高楼层/共10层,南,平层/精装,2006年建,塔楼,朝阳  酒仙桥 四至五环,有,满五年,商品房,1室0厅1厨1卫
85.11平米,348万,2室1厅,中楼层/共16层,南,平层/精装,2008年建,板楼,门头沟  滨河西区 六环外,有,满五年,商品房,2室1厅1厨1卫
83.83平米,336万,2室1厅,中楼层/共10层,南 北,平层/精装,2011年建,板楼,大兴  瀛海 五至六环 近8号线南段瀛海站,有,满两年,商品房,2室1厅1厨1卫
63.45平米,475万,2室1厅,中楼层/共14层,南,平层/精装,1982年建,塔楼,朝阳  CBD 三至四环 近14号线东段大望路站,有,满五年,商品房,2室1厅1厨1卫
54.31平米,488万,2室1厅,中楼层/共6层,南 北,平层/简装,1980年建,板楼,东城  东花市 二环内,无,满五年,商品房,2室1厅1厨1卫
62.72平米,276万,1室1厅,中楼层/共12层,南 北,平层/精装,2009年建,板塔结合,亦庄开发区  亦庄开发区其它 五至六环,有,满两年,商品房,1室1厅1厨1卫
74.32平米,265万,2室1厅,中楼层/共12层,南 北,平层/精装,2005年建,塔楼,昌平  鼓楼大街 六环外 近昌平线昌平站,有,满两年,商品房,2室1厅1厨1卫
92.22平米,840万,2室1厅,中楼层/共22层,西南,平层/精装,2006年建,板塔结合,朝阳  西坝河 二至三环 近13号线柳芳站,有,满两年,商品房,2室1厅1厨1卫
58.26平米,286万,1室1厅,中楼层/共11层,西北,平层/精装,2007年建,板塔结合,大兴  旧宫 四至五环,有,满五年,商品房,1室1厅1厨1卫
54.18平米,216万,2室1厅,低楼层/共6层,南 北,平层/简装,1993年建,板楼,大兴  瀛海 五至六环,无,满五年,已购公房,2室1厅1厨1卫
38.14平米,360万,1室1厅,底层/共6层,南 北,平层/简装,1985年建,板楼,朝阳  安贞 三至四环 近8号线北土城站,无,满五年,已购公房,1室1厅1厨1卫
85.63平米,655万,2室1厅,低楼层/共14层,西南,平层/精装,2009年建,板楼,海淀  军博 二至三环 近9号线北京西站站,有,满两年,二类经济适用房,2室1厅1厨1卫
53.5平米,328万,2室1厅,低楼层/共6层,南 北,平层/毛坯,1988年建,板楼,朝阳  酒仙桥 四至五环 近14号线东段将台站,无,满两年,商品房,2室1厅1厨1卫
50.77平米,490万,2室1厅,中楼层/共5层,东 西,平层/简装,1980年建,板楼,西城  马连道 二至三环 近7号线达官营站,无,满五年,已购公房,2室1厅1厨1卫
89.41平米,306万,3室1厅,顶层/共21层,南 北,平层/精装,2010年建,板楼,通州  马驹桥 六环外,有,满五年,商品房,3室1厅1厨1卫
43平米,335万,2室1厅,中楼层/共6层,南,平层/精装,1993年建,板楼,海淀  清河 五至六环 近13号线上地站,无,满五年,央产房,2室1厅1厨1卫
57.4平米,307万,2室1厅,中楼层/共5层,南 北,平层/简装,1991年建,板楼,朝阳  定福庄 五至六环 近八通线传媒大学站,无,满五年,已购公房,2室1厅1厨1卫
65.22平米,475万,1室1厅,中楼层/共28层,西南,平层/精装,2004年建,塔楼,朝阳  奥林匹克公园 五至六环 近5号线北苑路北站,有,满五年,商品房,1室1厅1厨1卫
90.33平米,728万,2室1厅,高楼层/共16层,南,平层/精装,2005年建,板楼,朝阳  四惠 四至五环 近1号线四惠站,有,满两年,商品房,2室1厅1厨1卫
91.24平米,320万,2室1厅,中楼层/共6层,南 北,平层/简装,1999年建,板楼,顺义  顺义城 六环外,无,满五年,已购公房,2室1厅1厨1卫
62.83平米,370万,2室1厅,中楼层/共6层,南,平层/精装,1983年建,板楼,石景山  玉泉路 四至五环 近1号线玉泉路站,无,满五年,已购公房,2室1厅1厨1卫
48.96平米,320万,1室0厅,中楼层/共24层,西,平层/简装,2004年建,塔楼,朝阳  高碑店 四至五环 近八通线高碑店站,有,满五年,商品房,1室0厅1厨1卫
61.62平米,405万,2室1厅,高楼层/共16层,南,平层/简装,1988年建,板楼,朝阳  红庙 三至四环 近6号线金台路站,有,满五年,已购公房,2室1厅1厨1卫
58.33平米,240万,2室1厅,低楼层/共6层,南 北,平层/精装,1989年建,板楼,朝阳  首都机场 五至六环,无,满五年,商品房,2室1厅1厨1卫
91.1平米,482万,2室2厅,低楼层/共32层,南,平层/精装,2011年建,板塔结合,通州  武夷花园 五至六环,有,满两年,商品房,2室2厅1厨1卫
65.2平米,459万,2室1厅,高楼层/共18层,东南,平层/简装,1991年建,板楼,朝阳  农展馆 三至四环 近14号线东段枣营站,有,满五年,已购公房,2室1厅1厨1卫
50.89平米,248万,1室1厅,顶层/共10层,东 南,平层/精装,2010年建,板楼,通州  北关 五至六环 近6号线物资学院路站,有,满五年,限价商品房,1室1厅1厨1卫
87.39平米,370万,2室1厅,中楼层/共18层,南 北,平层/简装,2012年建,板楼,通州  通州其它 五至六环,有,满五年,商品房,2室1厅1厨1卫
94.07平米,263万,2室1厅,顶层/共11层,南 北,平层/精装,2006年建,板楼,房山  长阳 五至六环,有,满五年,商品房,2室1厅1厨1卫
68.1平米,295万,2室1厅,高楼层/共12层,南,平层/精装,2008年建,板塔结合,通州  临河里 五至六环,有,满两年,商品房,2室1厅1厨1卫
70.09平米,412万,2室1厅,低楼层/共18层,西南,平层/精装,1995年建,塔楼,朝阳  潘家园 二至三环 近10号线潘家园站,有,满五年,商品房,2室1厅1厨1卫
49.8平米,439万,2室1厅,高楼层/共21层,东,平层/精装,1992年建,塔楼,海淀  紫竹桥 三至四环 近10号线车道沟站,有,满五年,已购公房,2室1厅1厨1卫
63.26平米,318万,2室1厅,低楼层/共6层,东 西,平层/精装,1993年建,板楼,石景山  鲁谷 四至五环,无,满五年,商品房,2室1厅1厨1卫
131.63平米,710万,3室1厅,中楼层/共22层,东南,平层/简装,2000年建,塔楼,朝阳  华威桥 三至四环 近10号线十里河站,有,满五年,商品房,3室1厅1厨2卫
115.87平米,615万,3室2厅,中楼层/共11层,南 北,平层/精装,2007年建,板楼,昌平  回龙观 五至六环 近13号线龙泽站,有,满五年,商品房,3室2厅1厨2卫
59.3平米,512万,3室1厅,中楼层/共6层,南 北,平层/精装,1982年建,板楼,海淀  新街口 二至三环,无,满五年,商品房,3室1厅1厨1卫
85.27平米,579万,3室1厅,高楼层/共25层,东 南 西 北,平层/精装,1990年建,塔楼,朝阳  亚运村 四至五环 近5号线惠新西街北口站,有,满五年,商品房,3室1厅1厨1卫
76.76平米,730万,2室1厅,中楼层/共6层,东 南 西 北,平层/精装,2003年建,板楼,东城  朝阳门内 二环内,无,满五年,二类经济适用房,2室1厅1厨1卫
96.27平米,760万,3室1厅,低楼层/共24层,西南,平层/精装,1996年建,塔楼,朝阳  芍药居 三至四环 近13号线芍药居站,有,满两年,商品房,3室1厅1厨1卫
160.56平米,925万,3室2厅,中楼层/共23层,西南,平层/精装,1997年建,塔楼,东城  建国门外 二环内 近2号线北京站站,有,满五年,商品房,3室2厅1厨2卫
134.65平米,490万,3室2厅,高楼层/共21层,南,平层/精装,2012年建,板塔结合,大兴  大兴开发区 五至六环,有,满五年,商品房,3室2厅1厨2卫
76.13平米,215万,2室1厅,底层/共6层,南 北,平层/简装,2000年建,板楼,门头沟  大峪 六环外,无,满五年,已购公房,2室1厅1厨1卫
85.76平米,280万,2室1厅,底层/共6层,南 北,平层/简装,2009年建,板楼,海淀  海淀其它 六环外,无,满五年,一类经济适用房,2室1厅1厨1卫
71.9平米,640万,3室1厅,顶层/共6层,南 北,平层/简装,1985年建,板楼,海淀  双榆树 三至四环 近4号线大兴线人民大学站,无,满五年,已购公房,3室1厅1厨1卫
77.43平米,500万,3室1厅,中楼层/共5层,南 北,平层/简装,1992年建,板楼,丰台  方庄 二至三环 近5号线蒲黄榆站,无,满两年,央产房,3室1厅1厨1卫
123.65平米,499万,3室2厅,中楼层/共6层,南 北,平层/简装,2003年建,板楼,大兴  旧宫 四至五环 近8号线南段五福堂站,无,满五年,商品房,3室2厅1厨2卫
113.03平米,890万,2室1厅,低楼层/共12层,南 北,平层/精装,2008年建,板塔结合,海淀  西北旺 五至六环 近16号线西北旺站,有,满两年,商品房,2室1厅1厨2卫
76.73平米,346万,2室1厅,中楼层/共6层,西南,平层/精装,1996年建,板楼,丰台  刘家窑 三至四环 近5号线宋家庄站,无,满五年,已购公房,2室1厅1厨1卫
108.86平米,860万,2室2厅,低楼层/共16层,南 北,平层/精装,2004年建,板楼,朝阳  大望路 三至四环,有,满五年,商品房,2室2厅1厨1卫
205.94平米,1420万,4室2厅,中楼层/共24层,西南,平层/精装,2005年建,塔楼,朝阳  亚运村 四至五环 近15号线安立路站,有,满五年,商品房,4室2厅1厨3卫
102.34平米,558万,2室2厅,高楼层/共24层,东南,平层/精装,2004年建,塔楼,丰台  木樨园 三至四环 近10号线石榴庄站,有,满五年,商品房,2室2厅1厨2卫
132.03平米,960万,3室2厅,中楼层/共9层,南 北,平层/简装,2005年建,板楼,海淀  田村 四至五环 近6号线田村站,有,满五年,商品房,3室2厅1厨2卫
111.58平米,439万,3室1厅,顶层/共18层,南 西 北,平层/精装,2012年建,板塔结合,房山  长阳 六环外,有,满五年,商品房,3室1厅1厨1卫
86.33平米,880万,3室1厅,高楼层/共6层,南 北,平层/精装,2000年建,板楼,海淀  世纪城 三至四环 近10号线车道沟站,无,满五年,商品房,3室1厅1厨1卫
98.39平米,339万,2室2厅,高楼层/共6层,南 北,平层/精装,1997年建,板楼,顺义  顺义城 六环外 近15号线顺义站,无,满两年,商品房,2室2厅1厨1卫
145.99平米,595万,2室2厅,高楼层/共28层,东,平层/简装,2002年建,塔楼,朝阳  潘家园 二至三环 近10号线潘家园站,有,满两年,商品房,2室2厅1厨2卫
74.62平米,680万,3室1厅,中楼层/共14层,东,平层/精装,1988年建,板塔结合,东城  和平里 二至三环 近5号线和平里北街站,有,满五年,已购公房,3室1厅1厨1卫
107.35平米,790万,2室2厅,高楼层/共6层,南 北,平层/精装,2003年建,板楼,海淀  五棵松 四至五环,无,满五年,商品房,2室2厅1厨2卫
88.32平米,427万,3室1厅,低楼层/共15层,东 南 北,平层/精装,2010年建,板塔结合,昌平  立水桥 五至六环,有,满五年,限价商品房,3室1厅1厨1卫
83平米,1105万,3室1厅,高楼层/共6层,南 北,平层/简装,1993年建,板楼,西城  德胜门 二至三环,无,满五年,已购公房,3室1厅1厨1卫
91.58平米,555万,2室2厅,中楼层/共10层,东 西,平层/精装,2003年建,板楼,海淀  清河 五至六环 近8号线永泰庄站,有,满五年,商品房,2室2厅1厨1卫
49.6平米,610万,2室1厅,中楼层/共5层,南,平层/精装,1982年建,板楼,西城  西直门 二环内 近2号线西直门站,无,满五年,已购公房,2室1厅1厨1卫
58.9平米,233万,1室1厅,低楼层/共31层,南,平层/精装,2013年建,板楼,石景山  石景山其它 五至六环,有,满五年,限价商品房,1室1厅1厨1卫
89.88平米,365万,2室1厅,中楼层/共21层,南,平层/精装,2012年建,塔楼,房山  长阳 五至六环,有,满五年,商品房,2室1厅1厨1卫
90.65平米,469万,2室1厅,低楼层/共18层,南 北,平层/精装,2005年建,板塔结合,石景山  杨庄 五至六环 近6号线杨庄站,有,满五年,商品房,2室1厅1厨1卫
81.88平米,422万,2室1厅,高楼层/共6层,南 北,平层/精装,1999年建,板楼,石景山  八角 五至六环 近1号线古城站,无,满五年,已购公房,2室1厅1厨1卫
74.75平米,326万,2室1厅,底层/共16层,东南,平层/简装,1994年建,塔楼,石景山  苹果园 五至六环 近1号线苹果园站,有,满五年,已购公房,2室1厅1厨1卫
82.94平米,252万,2室1厅,中楼层/共6层,南,平层/精装,2005年建,板楼,顺义  顺义其它 六环外,无,满两年,商品房,2室1厅1厨1卫
65.19平米,200万,2室1厅,中楼层/共6层,南 北,平层/简装,1999年建,板楼,丰台  丰台其它 五至六环,暂无数据,满五年,已购公房,2室1厅1厨1卫
41.7平米,245万,1室1厅,中楼层/共6层,南,平层/精装,1991年建,板楼,丰台  看丹桥 三至四环 近9号线丰台南路站,无,满五年,已购公房,1室1厅1厨1卫
55.54平米,560万,2室1厅,高楼层/共6层,南 北,平层/简装,1991年建,板楼,东城  朝阳门内 二环内,无,满两年,已购公房,2室1厅1厨1卫
55.38平米,379万,2室1厅,顶层/共6层,西南 东北,平层/精装,1988年建,板楼,朝阳  亚运村 三至四环 近10号线安贞门站,无,满五年,已购公房,2室1厅1厨1卫
83.19平米,328万,2室2厅,中楼层/共6层,南 北,平层/精装,2002年建,板楼,昌平  鼓楼大街 六环外,无,满五年,商品房,2室2厅1厨1卫
59.49平米,220万,2室1厅,中楼层/共6层,南 北,平层/简装,1992年建,板楼,顺义  顺义城 六环外,无,满五年,商品房,2室1厅1厨1卫
68.03平米,493.5万,2室1厅,中楼层/共6层,南 北,平层/精装,2000年建,板楼,朝阳  望京 四至五环 近15号线望京站,无,满五年,商品房,2室1厅1厨1卫
69.71平米,267万,2室1厅,中楼层/共6层,南 北,平层/精装,1996年建,板楼,昌平  北七家 五至六环,无,满两年,商品房,2室1厅1厨1卫
93.15平米,1030万,2室1厅,中楼层/共28层,南,平层/精装,2012年建,板楼,朝阳  望京 四至五环 近14号线东段东湖渠站,有,满五年,商品房,2室1厅1厨1卫
56.71平米,650万,2室1厅,底层/共6层,南,平层/精装,1996年建,板楼,东城  和平里 二至三环 近5号线和平里北街站,无,满两年,央产房,2室1厅1厨1卫
88.79平米,820万,2室1厅,顶层/共8层,南 北,精装,2011年建,板塔结合,海淀  田村 四至五环,有,满五年,商品房,2室1厅1厨1卫
